path,deployment,datetime,media_type
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0620.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:39:10,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0621.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:39:11,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0622.mp4.xmp,6009_gps1_diq202504-202509,2025-03-12 14:39:44,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0623.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:39:44,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0624.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:39:45,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0625.mp4.xmp,6009_gps1_diq202504-202509,2025-03-12 14:40:16,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0626.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:40:16,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0627.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:40:17,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0628.mp4.xmp,6009_gps1_diq202504-202509,2025-03-12 14:40:48,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0629.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:40:48,image/jpeg
